id,status,assignees,updated,notes
US-0.1,IN-PROGRESS,Sushant,2026-08-12,Saved straight from the page.
US-0.2,NOT-BUILT,,,
US-0.3,NOT-BUILT,,,
US-0.4,NOT-BUILT,,,
US-0.5,NOT-BUILT,,,
US-0.6,NOT-BUILT,,,
US-1.1,NOT-BUILT,,,
US-1.2,NOT-BUILT,,,
US-1.3,PARTIAL,,,
US-1.4,NOT-BUILT,,,
US-1.5,NOT-BUILT,,,
US-1.6,NOT-BUILT,,,
US-1.7,NOT-BUILT,,,
US-1.8,NOT-BUILT,,,
US-1.9,NOT-BUILT,,,
US-2.1,CHANGED,,,
US-2.2,NOT-BUILT,,,
US-2.3,NOT-BUILT,,,
US-2.4,NOT-BUILT,,,
US-2.5,NOT-BUILT,,,
US-2.6,WIRED-NOT,,,
US-2.7,NOT-BUILT,,,
US-2.8,NOT-BUILT,,,
US-2.9,NOT-BUILT,,,
US-2.10,PARTIAL,,,
US-3.1,NOT-BUILT,,,
US-3.2,NOT-BUILT,,,
US-3.3,NOT-BUILT,,,
US-3.4,NOT-BUILT,,,
US-3.5,NOT-BUILT,,,
US-3.6,NOT-BUILT,,,
US-3.7,NOT-BUILT,,,
US-3.8,NOT-BUILT,,,
US-4.1,NOT-BUILT,,,
US-4.2,NOT-BUILT,,,
US-4.3,NOT-BUILT,,,
US-4.4,NOT-BUILT,,,
US-4.5,NOT-BUILT,,,
US-4.6,NOT-BUILT,,,
US-4.7,NOT-BUILT,,,
US-5.1,WIRED-NOT,,,
US-5.2,NOT-BUILT,,,
US-5.3,NOT-BUILT,,,
US-5.4,WIRED-NOT,,,
US-5.5,NOT-BUILT,,,
US-5.6,NOT-BUILT,,,
US-5.7,PARTIAL,,,
US-6.1,NOT-BUILT,,,
US-6.2,NOT-BUILT,,,
US-6.3,NOT-BUILT,,,
US-6.4,NOT-BUILT,,,
US-6.5,PARTIAL,,,
US-6.6,PARTIAL,,,
US-7.1,PARTIAL,,,
US-7.2,WIRED-NOT,,,
US-7.3,WIRED-NOT,,,
US-7.4,NOT-BUILT,,,
US-7.5,NOT-BUILT,,,
US-7.6,NOT-BUILT,,,
US-7.7,BLOCKED,,,
US-7.8,NOT-BUILT,,,
US-7.9,NOT-BUILT,,,
US-7.10,NOT-BUILT,,,
US-7.11,NOT-BUILT,,,
US-7.12,NOT-BUILT,,,
US-7.13,NOT-BUILT,,,
US-8.1,NOT-BUILT,,,
US-8.2,NOT-BUILT,,,
US-8.3,WIRED-NOT,,,
US-8.4,NOT-BUILT,,,
US-8.5,NOT-BUILT,,,
US-9.1,NOT-BUILT,,,
US-9.2,NOT-BUILT,,,
US-9.3,NOT-BUILT,,,
US-9.4,NOT-BUILT,,,
US-9.5,NOT-BUILT,,,
US-9.6,NOT-BUILT,,,
US-9.7,BLOCKED,,,
US-9.8,NOT-BUILT,,,
US-9.9,NOT-BUILT,,,
US-9.10,NOT-BUILT,,,
US-9.11,NOT-BUILT,,,
US-10.1,NOT-BUILT,,,
US-10.2,NOT-BUILT,,,
US-10.3,NOT-BUILT,,,
US-10.4,NOT-BUILT,,,
US-10.5,NOT-BUILT,,,
US-X.1,WIRED-NOT,,,
US-X.2,WIRED-NOT,,,
US-X.3,NOT-BUILT,,,
US-X.4,NOT-BUILT,,,
US-X.5,NOT-BUILT,,,
US-X.6,NOT-BUILT,,,
US-X.7,NOT-BUILT,,,
US-X.8,NOT-BUILT,,,
US-X.9,NOT-BUILT,,,
US-X.10,NOT-BUILT,,,
US-X.11,NOT-BUILT,,,
US-X.12,NOT-BUILT,,,
US-X.13,PARTIAL,,,
US-X.14,NOT-BUILT,,,
